online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,9,True,0.006,2,1024000,0
True,inf,9,True,0.006,64,1024000,2
True,inf,9,True,0.006,179,1024000,4
True,inf,9,True,0.006,402,1024000,6
True,inf,9,True,0.006,652,1024000,8
True,inf,9,True,0.006,973,1024000,10
True,inf,9,True,0.006,1313,1024000,12
True,inf,9,True,0.006,1643,1024000,14
True,inf,9,True,0.006,2033,1024000,16
True,inf,9,True,0.006,2441,1024000,18
True,inf,9,True,0.006,2843,1024000,20
True,inf,9,True,0.006,3189,1024000,22
True,inf,9,True,0.006,3622,1024000,24
True,inf,9,True,0.006,4056,1024000,26
True,inf,9,True,0.006,4445,1024000,28
True,inf,9,True,0.006,4817,1024000,30
True,inf,9,True,0.006,5301,1024000,32
True,inf,9,True,0.006,5754,1024000,34
True,inf,9,True,0.006,6153,1024000,36
True,inf,9,True,0.006,6537,1024000,38
True,inf,9,True,0.006,6949,1024000,40
True,inf,9,True,0.006,7384,1024000,42
True,inf,9,True,0.006,7831,1024000,44
True,inf,9,True,0.006,8222,1024000,46
True,inf,9,True,0.006,8586,1024000,48
True,inf,9,True,0.006,9026,1024000,50
True,inf,9,True,0.006,9442,1024000,52
True,inf,9,True,0.006,9836,1024000,54
True,inf,9,True,0.006,10264,1024000,56
True,inf,9,True,0.006,10692,1024000,58
True,inf,9,True,0.006,11050,1024000,60
True,inf,9,True,0.006,11515,1024000,62
True,inf,9,True,0.006,11929,1024000,64
True,inf,9,True,0.006,12368,1024000,66
True,inf,9,True,0.006,12750,1024000,68
True,inf,9,True,0.006,13140,1024000,70
True,inf,9,True,0.006,13551,1024000,72
True,inf,9,True,0.006,13991,1024000,74
True,inf,9,True,0.006,14359,1024000,76
True,inf,9,True,0.006,14801,1024000,78
True,inf,9,True,0.006,15193,1024000,80
True,inf,9,True,0.006,15572,1024000,82
True,inf,9,True,0.006,15996,1024000,84
True,inf,9,True,0.006,16450,1024000,86
True,inf,9,True,0.006,16796,1024000,88
True,inf,9,True,0.006,17201,1024000,90
True,inf,9,True,0.006,17603,1024000,92
True,inf,9,True,0.006,17981,1024000,94
True,inf,9,True,0.006,18394,1024000,96
True,inf,9,True,0.006,18815,1024000,98
True,inf,9,True,0.006,19243,1024000,100
True,inf,9,True,0.006,19668,1024000,102
True,inf,9,True,0.006,20062,1024000,104
True,inf,9,True,0.006,20458,1024000,106
True,inf,9,True,0.006,20945,1024000,108
True,inf,9,True,0.006,21296,1024000,110
True,inf,9,True,0.006,21698,1024000,112
True,inf,9,True,0.006,22045,1024000,114
True,inf,9,True,0.006,22472,1024000,116
True,inf,9,True,0.006,22917,1024000,118
True,inf,9,True,0.006,23317,1024000,120
True,inf,9,True,0.006,23710,1024000,122
True,inf,9,True,0.006,24059,1024000,124
True,inf,9,True,0.006,24505,1024000,126
True,inf,9,True,0.006,24867,1024000,128
True,inf,9,True,0.006,25283,1024000,130
True,inf,9,True,0.006,25669,1024000,132
True,inf,9,True,0.006,26090,1024000,134
True,inf,9,True,0.006,26521,1024000,136
True,inf,9,True,0.006,26898,1024000,138
True,inf,9,True,0.006,27285,1024000,140
True,inf,9,True,0.006,27679,1024000,142
True,inf,9,True,0.006,28104,1024000,144
True,inf,9,True,0.006,28515,1024000,146
True,inf,9,True,0.006,28919,1024000,148
True,inf,9,True,0.006,29306,1024000,150
True,inf,9,True,0.006,29678,1024000,152
True,inf,9,True,0.006,30024,1024000,154
True,inf,9,True,0.006,30408,1024000,156
True,inf,9,True,0.006,30836,1024000,158
True,inf,9,True,0.006,31288,1024000,160
True,inf,9,True,0.006,31682,1024000,162
True,inf,9,True,0.006,32069,1024000,164
True,inf,9,True,0.006,32470,1024000,166
True,inf,9,True,0.006,32849,1024000,168
True,inf,9,True,0.006,33281,1024000,170
True,inf,9,True,0.006,33654,1024000,172
True,inf,9,True,0.006,34001,1024000,174
True,inf,9,True,0.006,34450,1024000,176
True,inf,9,True,0.006,34877,1024000,178
True,inf,9,True,0.006,35318,1024000,180
True,inf,9,True,0.006,35678,1024000,182
True,inf,9,True,0.006,36072,1024000,184
True,inf,9,True,0.006,36471,1024000,186
True,inf,9,True,0.006,36826,1024000,188
True,inf,9,True,0.006,37246,1024000,190
True,inf,9,True,0.006,37602,1024000,192
True,inf,9,True,0.006,37940,1024000,194
True,inf,9,True,0.006,38383,1024000,196
True,inf,9,True,0.006,38717,1024000,198
True,inf,9,True,0.006,39182,1024000,200
True,inf,9,True,0.006,39481,1024000,202
True,inf,9,True,0.006,39881,1024000,204
True,inf,9,True,0.006,40282,1024000,206
True,inf,9,True,0.006,40734,1024000,208
True,inf,9,True,0.006,41097,1024000,210
True,inf,9,True,0.006,41451,1024000,212
True,inf,9,True,0.006,41842,1024000,214
True,inf,9,True,0.006,42223,1024000,216
True,inf,9,True,0.006,42657,1024000,218
True,inf,9,True,0.006,43025,1024000,220
True,inf,9,True,0.006,43408,1024000,222
True,inf,9,True,0.006,43807,1024000,224
True,inf,9,True,0.006,44222,1024000,226
True,inf,9,True,0.006,44591,1024000,228
True,inf,9,True,0.006,44973,1024000,230
True,inf,9,True,0.006,45390,1024000,232
True,inf,9,True,0.006,45748,1024000,234
True,inf,9,True,0.006,46117,1024000,236
True,inf,9,True,0.006,46525,1024000,238
True,inf,9,True,0.006,46885,1024000,240
True,inf,9,True,0.006,47308,1024000,242
True,inf,9,True,0.006,47637,1024000,244
True,inf,9,True,0.006,48050,1024000,246
True,inf,9,True,0.006,48430,1024000,248
True,inf,9,True,0.006,48856,1024000,250
True,inf,9,True,0.006,49254,1024000,252
True,inf,9,True,0.006,49594,1024000,254
True,inf,9,True,0.006,49940,1024000,256
True,inf,9,True,0.006,50379,1024000,258
True,inf,9,True,0.006,50739,1024000,260
True,inf,9,True,0.006,51107,1024000,262
True,inf,9,True,0.006,51505,1024000,264
True,inf,9,True,0.006,51939,1024000,266
True,inf,9,True,0.006,52329,1024000,268
True,inf,9,True,0.006,52729,1024000,270
True,inf,9,True,0.006,53085,1024000,272
True,inf,9,True,0.006,53457,1024000,274
True,inf,9,True,0.006,53787,1024000,276
True,inf,9,True,0.006,54163,1024000,278
True,inf,9,True,0.006,54575,1024000,280
True,inf,9,True,0.006,54979,1024000,282
True,inf,9,True,0.006,55353,1024000,284
True,inf,9,True,0.006,55738,1024000,286
True,inf,9,True,0.006,56141,1024000,288
True,inf,9,True,0.006,56454,1024000,290
True,inf,9,True,0.006,56884,1024000,292
True,inf,9,True,0.006,57219,1024000,294
