online,max_stack,code_distance,physical_error_rate,meas_error,error_count,run_count,time_run
bool,float64,int64,float64,bool,int64,int64,int64
True,3.0,5,0.00118,True,257,999424,100
True,7.0,5,0.00118,True,276,999424,100
True,inf,5,0.00118,True,263,999424,100
True,3.0,9,0.00118,True,4,555264,180
True,7.0,9,0.00118,True,1,555264,180
True,inf,9,0.00118,True,6,555264,180
True,3.0,15,0.00118,True,0,333344,300
True,7.0,15,0.00118,True,0,333344,300
True,inf,15,0.00118,True,0,333344,300
True,3.0,25,0.00118,True,0,199808,500
True,7.0,25,0.00118,True,0,199808,500
True,inf,25,0.00118,True,0,199808,500
True,3.0,35,0.00118,True,0,142880,700
True,7.0,35,0.00118,True,0,142880,700
True,inf,35,0.00118,True,0,142880,700
True,3.0,50,0.00118,True,0,99968,1000
True,7.0,50,0.00118,True,0,99968,1000
True,inf,50,0.00118,True,0,99968,1000
True,3.0,75,0.00118,True,0,66624,1500
True,7.0,75,0.00118,True,0,66624,1500
True,inf,75,0.00118,True,0,66624,1500
True,3.0,100,0.00118,True,0,49984,2000
True,7.0,100,0.00118,True,0,49984,2000
True,inf,100,0.00118,True,0,49984,2000
True,3.0,5,0.00139,True,473,999424,100
True,7.0,5,0.00139,True,487,999424,100
True,inf,5,0.00139,True,457,999424,100
True,3.0,9,0.00139,True,15,555264,180
True,7.0,9,0.00139,True,8,555264,180
True,inf,9,0.00139,True,8,555264,180
True,3.0,15,0.00139,True,0,333344,300
True,7.0,15,0.00139,True,0,333344,300
True,inf,15,0.00139,True,0,333344,300
True,3.0,25,0.00139,True,0,199808,500
True,7.0,25,0.00139,True,0,199808,500
True,inf,25,0.00139,True,0,199808,500
True,3.0,35,0.00139,True,0,142880,700
True,7.0,35,0.00139,True,0,142880,700
True,inf,35,0.00139,True,0,142880,700
True,3.0,50,0.00139,True,0,99968,1000
True,7.0,50,0.00139,True,0,99968,1000
True,inf,50,0.00139,True,0,99968,1000
True,3.0,75,0.00139,True,0,66624,1500
True,7.0,75,0.00139,True,0,66624,1500
True,inf,75,0.00139,True,0,66624,1500
True,3.0,100,0.00139,True,0,49984,2000
True,7.0,100,0.00139,True,0,14976,2000
True,inf,100,0.00139,True,0,49984,2000
True,3.0,5,0.00164,True,774,999424,100
True,7.0,5,0.00164,True,750,999424,100
True,inf,5,0.00164,True,829,999424,100
True,3.0,9,0.00164,True,29,555264,180
True,7.0,9,0.00164,True,18,555264,180
True,inf,9,0.00164,True,21,555264,180
True,3.0,15,0.00164,True,1,333344,300
True,7.0,15,0.00164,True,0,333344,300
True,inf,15,0.00164,True,2,1331264,300
True,3.0,25,0.00164,True,0,199808,500
True,7.0,25,0.00164,True,0,199808,500
True,inf,25,0.00164,True,0,199808,500
True,3.0,35,0.00164,True,0,142880,700
True,7.0,35,0.00164,True,0,142880,700
True,inf,35,0.00164,True,0,142880,700
True,3.0,50,0.00164,True,0,99968,1000
True,7.0,50,0.00164,True,0,99968,1000
True,inf,50,0.00164,True,0,99968,1000
True,3.0,75,0.00164,True,0,66624,1500
True,7.0,75,0.00164,True,0,66624,1500
True,inf,75,0.00164,True,0,66624,1500
True,3.0,100,0.00164,True,0,49984,2000
True,7.0,100,0.00164,True,0,49984,2000
True,inf,100,0.00164,True,0,49984,2000
True,3.0,5,0.00193,True,999,727040,100
True,7.0,5,0.00193,True,998,721920,100
True,inf,5,0.00193,True,998,702464,100
True,3.0,9,0.00193,True,65,555264,180
True,7.0,9,0.00193,True,47,555264,180
True,inf,9,0.00193,True,30,555264,180
True,3.0,15,0.00193,True,1,333344,300
True,7.0,15,0.00193,True,1,333344,300
True,inf,15,0.00193,True,5,1331264,300
True,3.0,25,0.00193,True,0,199808,500
True,7.0,25,0.00193,True,0,199808,500
True,inf,25,0.00193,True,0,199808,500
True,3.0,35,0.00193,True,0,142880,700
True,7.0,35,0.00193,True,0,142880,700
True,inf,35,0.00193,True,0,142880,700
True,3.0,50,0.00193,True,0,99968,1000
True,7.0,50,0.00193,True,0,99968,1000
True,inf,50,0.00193,True,0,99968,1000
True,3.0,75,0.00193,True,0,66624,1500
True,7.0,75,0.00193,True,0,66624,1500
True,inf,75,0.00193,True,0,66624,1500
True,3.0,100,0.00193,True,0,49984,2000
True,7.0,100,0.00193,True,0,49984,2000
True,inf,100,0.00193,True,0,49984,2000
True,3.0,5,0.00228,True,997,417760,100
True,7.0,5,0.00228,True,1000,413696,100
True,inf,5,0.00228,True,999,417792,100
True,3.0,9,0.00228,True,131,555264,180
True,7.0,9,0.00228,True,100,555264,180
True,inf,9,0.00228,True,120,555264,180
True,3.0,15,0.00228,True,6,333344,300
True,7.0,15,0.00228,True,2,333344,300
True,inf,15,0.00228,True,5,333344,300
True,3.0,25,0.00228,True,0,199808,500
True,7.0,25,0.00228,True,0,199808,500
True,inf,25,0.00228,True,0,199808,500
True,3.0,35,0.00228,True,0,142880,700
True,7.0,35,0.00228,True,0,142880,700
True,inf,35,0.00228,True,0,142880,700
True,3.0,50,0.00228,True,0,99968,1000
True,7.0,50,0.00228,True,0,99968,1000
True,inf,50,0.00228,True,0,99968,1000
True,3.0,75,0.00228,True,0,66624,1500
True,7.0,75,0.00228,True,0,66624,1500
True,inf,75,0.00228,True,0,66624,1500
True,3.0,100,0.00228,True,0,49984,2000
True,7.0,100,0.00228,True,0,49984,2000
True,inf,100,0.00228,True,0,49984,2000
True,3.0,5,0.00268,True,998,243712,100
True,7.0,5,0.00268,True,999,254656,100
True,inf,5,0.00268,True,996,250848,100
True,3.0,9,0.00268,True,268,555264,180
True,7.0,9,0.00268,True,247,555264,180
True,inf,9,0.00268,True,257,555264,180
True,3.0,15,0.00268,True,24,333344,300
True,7.0,15,0.00268,True,13,333344,300
True,inf,15,0.00268,True,10,333344,300
True,3.0,25,0.00268,True,0,119840,500
True,7.0,25,0.00268,True,0,119840,500
True,inf,25,0.00268,True,0,119840,500
True,3.0,35,0.00268,True,0,85600,700
True,7.0,35,0.00268,True,0,85600,700
True,inf,35,0.00268,True,0,85600,700
True,3.0,50,0.00268,True,0,60032,1000
True,7.0,50,0.00268,True,0,60032,1000
True,inf,50,0.00268,True,0,60032,1000
True,3.0,75,0.00268,True,0,40032,1500
True,7.0,75,0.00268,True,0,40032,1500
True,inf,75,0.00268,True,0,40032,1500
True,3.0,100,0.00268,True,0,30016,2000
True,7.0,100,0.00268,True,0,30016,2000
True,inf,100,0.00268,True,0,30016,2000
True,3.0,5,0.00316,True,998,147552,100
True,7.0,5,0.00316,True,999,149792,100
True,inf,5,0.00316,True,993,147392,100
True,3.0,9,0.00316,True,669,555264,180
True,7.0,9,0.00316,True,550,555264,180
True,inf,9,0.00316,True,603,555264,180
True,3.0,15,0.00316,True,53,333344,300
True,7.0,15,0.00316,True,45,333344,300
True,inf,15,0.00316,True,55,333344,300
True,3.0,25,0.00316,True,5,279776,500
True,7.0,25,0.00316,True,2,136416,500
