online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,9,True,0.006,0,10240,0
True,9,True,0.006,1747,10240,1000
True,9,True,0.006,3130,10240,2000
True,9,True,0.006,4203,10240,3000
True,9,True,0.006,5029,10240,4000
True,9,True,0.006,5542,10240,5000
True,9,True,0.006,6077,10240,6000
True,9,True,0.006,6427,10240,7000
True,9,True,0.006,6679,10240,8000
True,9,True,0.006,6861,10240,9000
True,9,True,0.006,7011,10240,10000
True,9,True,0.006,7160,10240,11000
True,9,True,0.006,7219,10240,12000
True,9,True,0.006,7299,10240,13000
True,9,True,0.006,7361,10240,14000
True,9,True,0.006,7448,10240,15000
True,9,True,0.006,7483,10240,16000
True,9,True,0.006,7572,10240,17000
True,9,True,0.006,7555,10240,18000
True,9,True,0.006,7571,10240,19000
True,9,True,0.006,7578,10240,20000
True,9,True,0.006,7586,10240,21000
True,9,True,0.006,7545,10240,22000
True,9,True,0.006,7571,10240,23000
True,9,True,0.006,7614,10240,24000
True,9,True,0.006,7650,10240,25000
True,9,True,0.006,7631,10240,26000
True,9,True,0.006,7629,10240,27000
True,9,True,0.006,7625,10240,28000
True,9,True,0.006,7617,10240,29000
True,9,True,0.006,7596,10240,30000
True,9,True,0.006,7592,10240,31000
True,9,True,0.006,7618,10240,32000
True,9,True,0.006,7639,10240,33000
True,9,True,0.006,7679,10240,34000
True,9,True,0.006,7681,10240,35000
True,9,True,0.006,7686,10240,36000
True,9,True,0.006,7699,10240,37000
True,9,True,0.006,7650,10240,38000
True,9,True,0.006,7622,10240,39000
True,9,True,0.006,7658,10240,40000
True,9,True,0.006,7694,10240,41000
True,9,True,0.006,7729,10240,42000
True,9,True,0.006,7730,10240,43000
True,9,True,0.006,7728,10240,44000
True,9,True,0.006,7730,10240,45000
True,9,True,0.006,7671,10240,46000
True,9,True,0.006,7655,10240,47000
True,9,True,0.006,7638,10240,48000
True,9,True,0.006,7629,10240,49000
True,9,True,0.006,7617,10240,50000
True,9,True,0.006,7568,10240,51000
True,9,True,0.006,7530,10240,52000
True,9,True,0.006,7597,10240,53000
True,9,True,0.006,7621,10240,54000
True,9,True,0.006,7635,10240,55000
True,9,True,0.006,7694,10240,56000
True,9,True,0.006,7716,10240,57000
True,9,True,0.006,7701,10240,58000
True,9,True,0.006,7714,10240,59000
True,9,True,0.006,7657,10240,60000
True,9,True,0.006,7653,10240,61000
True,9,True,0.006,7630,10240,62000
True,9,True,0.006,7648,10240,63000
True,9,True,0.006,7645,10240,64000
True,9,True,0.006,7684,10240,65000
True,9,True,0.006,7702,10240,66000
True,9,True,0.006,7649,10240,67000
True,9,True,0.006,7687,10240,68000
True,9,True,0.006,7759,10240,69000
True,9,True,0.006,7728,10240,70000
True,9,True,0.006,7747,10240,71000
True,9,True,0.006,7730,10240,72000
True,9,True,0.006,7713,10240,73000
True,9,True,0.006,7702,10240,74000
True,9,True,0.006,7704,10240,75000
True,9,True,0.006,7715,10240,76000
True,9,True,0.006,7689,10240,77000
True,9,True,0.006,7703,10240,78000
True,9,True,0.006,7667,10240,79000
True,9,True,0.006,7639,10240,80000
True,9,True,0.006,7638,10240,81000
True,9,True,0.006,7663,10240,82000
True,9,True,0.006,7655,10240,83000
True,9,True,0.006,7652,10240,84000
True,9,True,0.006,7693,10240,85000
True,9,True,0.006,7664,10240,86000
True,9,True,0.006,7670,10240,87000
True,9,True,0.006,7706,10240,88000
True,9,True,0.006,7718,10240,89000
True,9,True,0.006,7730,10240,90000
