online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,10,True,0.006,1000,32000,200
True,20,True,0.006,1000,55680,400
True,30,True,0.006,999,72640,600
True,40,True,0.006,993,102400,800
True,50,True,0.006,755,100160,1000
True,60,True,0.006,513,83520,1200
True,80,True,0.006,246,62720,1600
True,100,True,0.006,168,49920,2000
True,120,True,0.006,112,41600,2400
True,10,True,0.00618,997,26560,200
True,20,True,0.00618,995,42560,400
True,30,True,0.00618,996,49920,600
True,40,True,0.00618,995,63680,800
True,50,True,0.00618,997,74880,1000
True,60,True,0.00618,992,83520,1200
True,80,True,0.00618,555,62720,1600
True,100,True,0.00618,381,49920,2000
True,120,True,0.00618,298,41600,2400
True,10,True,0.00636,1007,22400,200
True,20,True,0.00636,1005,30720,400
True,30,True,0.00636,1001,34240,600
True,40,True,0.00636,991,42880,800
True,50,True,0.00636,994,43200,1000
True,60,True,0.00636,1003,46080,1200
True,80,True,0.00636,994,55040,1600
True,100,True,0.00636,854,50240,2000
True,120,True,0.00636,737,41600,2400
True,10,True,0.00654,1008,19520,200
True,20,True,0.00654,1011,24000,400
True,30,True,0.00654,1002,26560,600
True,40,True,0.00654,1001,26240,800
True,50,True,0.00654,1009,25600,1000
True,60,True,0.00654,1001,27520,1200
True,80,True,0.00654,1002,25920,1600
True,100,True,0.00654,1020,26560,2000
True,120,True,0.00654,1011,24320,2400
True,10,True,0.00673,1016,16640,200
True,20,True,0.00673,1010,18240,400
True,30,True,0.00673,1010,17920,600
True,40,True,0.00673,1000,18240,800
True,50,True,0.00673,1008,16640,1000
True,60,True,0.00673,1007,15680,1200
True,80,True,0.00673,1018,14080,1600
True,100,True,0.00673,1023,11840,2000
True,120,True,0.00673,1030,10880,2400
True,10,True,0.00693,1009,13440,200
True,20,True,0.00693,1015,13440,400
True,30,True,0.00693,1028,12800,600
True,40,True,0.00693,1011,10880,800
True,50,True,0.00693,1000,9920,1000
True,60,True,0.00693,1030,8960,1200
True,80,True,0.00693,1034,7040,1600
True,100,True,0.00693,1062,6080,2000
True,120,True,0.00693,1028,5120,2400
True,10,True,0.00713,1031,11840,200
True,20,True,0.00713,1027,10560,400
True,30,True,0.00713,1007,8640,600
True,40,True,0.00713,1027,7360,800
True,50,True,0.00713,1013,6080,1000
True,60,True,0.00713,1043,5440,1200
True,80,True,0.00713,1075,4160,1600
True,100,True,0.00713,1086,3200,2000
True,120,True,0.00713,1021,2560,2400
True,10,True,0.00734,1009,9600,200
True,20,True,0.00734,1015,8320,400
True,30,True,0.00734,1039,6720,600
True,40,True,0.00734,1033,4800,800
True,50,True,0.00734,1004,3840,1000
True,60,True,0.00734,1098,3520,1200
True,80,True,0.00734,1065,2560,1600
True,100,True,0.00734,1035,1920,2000
True,120,True,0.00734,1007,1600,2400
True,10,True,0.00755,1019,8640,200
True,20,True,0.00755,1034,6720,400
True,30,True,0.00755,1035,4800,600
True,40,True,0.00755,1026,3520,800
True,50,True,0.00755,1109,2880,1000
True,60,True,0.00755,1032,2240,1200
True,80,True,0.00755,1165,1920,1600
True,100,True,0.00755,1083,1600,2000
True,120,True,0.00755,1187,1600,2400
True,10,True,0.00777,1033,7680,200
True,20,True,0.00777,1060,5120,400
True,30,True,0.00777,1064,3840,600
True,40,True,0.00777,1038,2560,800
True,50,True,0.00777,1133,2240,1000
True,60,True,0.00777,1147,1920,1200
True,80,True,0.00777,1147,1600,1600
True,100,True,0.00777,1145,1600,2000
True,120,True,0.00777,1202,1600,2400
