online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,5,True,0.00521,1004,52800,50
True,9,True,0.00521,1005,128000,90
True,15,True,0.00521,994,299840,150
True,25,True,0.00521,494,398400,250
True,35,True,0.00521,187,285120,350
True,50,True,0.00521,47,199360,500
True,65,True,0.00521,22,153600,650
True,100,True,0.00521,2,99840,1000
True,120,True,0.00521,0,1920,2400
True,5,True,0.00544,1011,46720,50
True,9,True,0.00544,995,98560,90
True,15,True,0.00544,992,202560,150
True,25,True,0.00544,879,397120,250
True,35,True,0.00544,310,285120,350
True,50,True,0.00544,101,199360,500
True,65,True,0.00544,32,153600,650
True,80,True,0.00544,17,124160,800
True,100,True,0.00544,9,99840,1000
True,120,True,0.00544,0,640,2400
True,5,True,0.00567,997,43520,50
True,9,True,0.00567,1008,80960,90
True,15,True,0.00567,992,154880,150
True,25,True,0.00567,1001,280640,250
True,35,True,0.00567,563,283840,350
True,50,True,0.00567,223,199360,500
True,65,True,0.00567,95,153600,650
True,80,True,0.00567,51,124160,800
True,100,True,0.00567,19,99840,1000
True,120,True,0.00567,0,640,2400
True,5,True,0.00591,1001,33280,50
True,9,True,0.00591,1000,65600,90
True,15,True,0.00591,997,102720,150
True,25,True,0.00591,997,182400,250
True,35,True,0.00591,991,271360,350
True,50,True,0.00591,473,200000,500
True,65,True,0.00591,229,153600,650
True,80,True,0.00591,110,124160,800
True,100,True,0.00591,62,99840,1000
True,120,True,0.00591,1,640,2400
True,5,True,0.00617,1007,29760,50
True,9,True,0.00617,996,51840,90
True,15,True,0.00617,1003,72000,150
True,25,True,0.00617,996,112960,250
True,35,True,0.00617,991,137280,350
True,50,True,0.00617,996,199360,500
True,65,True,0.00617,569,153600,650
True,80,True,0.00617,375,124160,800
True,100,True,0.00617,255,99840,1000
True,120,True,0.00617,5,640,2400
True,5,True,0.00643,1005,27520,50
True,9,True,0.00643,992,43520,90
True,15,True,0.00643,1002,57280,150
True,25,True,0.00643,1008,67200,250
True,35,True,0.00643,996,76480,350
True,50,True,0.00643,1001,100160,500
True,65,True,0.00643,998,101440,650
True,80,True,0.00643,1000,114880,800
True,120,True,0.00643,40,1600,2400
True,5,True,0.00671,1016,24640,50
True,9,True,0.00671,1008,32640,90
True,15,True,0.00671,992,38400,150
True,25,True,0.00671,1005,43520,250
True,35,True,0.00671,996,42560,350
True,50,True,0.00671,1007,41600,500
True,65,True,0.00671,1001,41600,650
True,80,True,0.00671,1000,41920,800
True,100,True,0.00671,993,38720,1000
True,120,True,0.00671,88,960,2400
True,5,True,0.007,1002,21120,50
True,9,True,0.007,996,25920,90
True,15,True,0.007,1006,26880,150
True,25,True,0.007,1006,26880,250
True,35,True,0.007,1010,23680,350
True,50,True,0.007,1021,20480,500
True,65,True,0.007,1014,17280,650
True,80,True,0.007,1030,14080,800
True,100,True,0.007,1006,12160,1000
True,120,True,0.007,276,960,2400
True,5,True,0.0073,1006,17600,50
True,9,True,0.0073,992,19520,90
True,15,True,0.0073,1001,19840,150
True,25,True,0.0073,1000,16320,250
True,35,True,0.0073,1021,12800,350
True,50,True,0.0073,1014,9600,500
True,65,True,0.0073,1024,7360,650
True,80,True,0.0073,1012,5760,800
True,100,True,0.0073,1004,4160,1000
True,120,True,0.0073,547,960,2400
True,5,True,0.00761,1002,14080,50
True,9,True,0.00761,1006,17280,90
True,15,True,0.00761,1014,14400,150
True,25,True,0.00761,1012,10560,250
True,35,True,0.00761,1000,7680,350
True,50,True,0.00761,1026,5120,500
True,65,True,0.00761,1061,3840,650
True,80,True,0.00761,1007,2560,800
True,100,True,0.00761,1115,2240,1000
True,120,True,0.00761,1206,1600,2400
True,5,True,0.00793,1009,13440,50
True,9,True,0.00793,1003,13440,90
True,15,True,0.00793,1020,11520,150
True,25,True,0.00793,1028,7040,250
True,35,True,0.00793,1004,4800,350
True,50,True,0.00793,1017,2880,500
True,65,True,0.00793,1123,2240,650
True,80,True,0.00793,1198,1920,800
True,100,True,0.00793,1119,1600,1000
True,120,True,0.00793,1218,1600,2400
True,5,True,0.00828,1007,11840,50
True,9,True,0.00828,1021,10880,90
True,15,True,0.00828,1021,8000,150
True,25,True,0.00828,1048,5120,250
True,35,True,0.00828,1096,3200,350
True,50,True,0.00828,1006,1920,500
True,65,True,0.00828,1066,1600,650
True,80,True,0.00828,1159,1600,800
True,100,True,0.00828,1180,1600,1000
True,5,True,0.00863,1005,9600,50
True,9,True,0.00863,1018,8960,90
True,15,True,0.00863,1047,6080,150
True,25,True,0.00863,1040,3520,250
True,35,True,0.00863,1092,2240,350
True,50,True,0.00863,1098,1600,500
True,65,True,0.00863,1189,1600,650
True,80,True,0.00863,1199,1600,800
True,100,True,0.00863,1216,1600,1000
